Heads,Months,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Total
     JALORE,,"18,072","18,072","18,072","18,072","18,072","18,072","18,072","18,072","18,072","18,072","18,072","18,072","216,859"
     SHIVGUNJ,,"2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","2,000","24,000"
     ABUROAD,,"12,321","12,321","12,321","12,321","12,321","12,321","12,321","12,321","12,321","12,321","12,321","12,321","147,852"
     CHURU,,"35,250","35,250","41,462","41,462","42,250","42,250","38,250","39,300","37,900","37,900","37,900","37,900","467,074"
     CHIDAWA,,"8,950","8,950","8,950","8,950","8,950","8,950","8,950","9,280","9,280","9,280","9,280","9,280","109,050"
     MANDI GOBINDGARH,,"11,770","11,770","11,770","11,770","11,770","11,770","11,770","11,770","12,210","12,210","12,210","12,210","143,000"
     KAITHAL,,"28,980","28,980","28,980","28,980","30,345","30,345","30,345","30,345","30,345","30,345","30,345","30,345","358,680"
     YAMUNANGR,,"32,530","32,530","32,530","32,530","32,530","32,530","32,530","32,530","32,530","32,530","32,530","32,530","390,360"
     KURUKSHETRA,,"27,881","27,881","27,881","27,881","27,881","27,881","27,881","27,881","27,881","27,881","27,881","27,880","334,571"
     NADIAD,,"42,395","42,395","42,395","43,847","43,847","43,847","43,847","43,847","43,847","43,847","43,847","43,847","521,808"
     YAVATMAL,,"20,150","20,150","20,150","20,150","20,150","20,150","20,150","20,150","20,150","20,150","20,150","20,150","241,800"
     NAGPUR1,,"15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","180,000"
     NAGPUR,,"20,150","20,150","20,500","20,500","20,500","20,500","20,500","20,500","20,500","20,500","20,500","20,500","245,300"
     DANTEWADA,,"3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","36,000"
     KANKER,,"6,892","6,892","6,892","6,892","6,892","6,892","6,892","6,892","6,892","6,892","6,892","6,896","82,708"
     GOHANA,,"14,160","14,160","14,160","14,160","14,160","14,160","14,160","14,160","14,160","14,886","14,886","14,886","172,098"
     MHOW,,"26,027","26,027","26,027","26,027","26,027","26,027","26,627","26,627","26,627","26,627","26,627","26,627","315,924"
     DURG,,"6,831","6,831","6,831","6,831","6,831","6,831","6,831","6,831","6,831","6,831","6,831","6,831","81,972"
     BALOD,,"17,286","17,286","17,286","17,286","17,286","17,286","17,286","17,286","17,286","17,286","17,286","17,286","207,432"
     BEMETARA,,"3,941","3,941","3,941","3,941","3,941","3,941","3,941","3,941","3,941","3,941","3,941","3,941","47,292"
     DALLIRARA,,"2,708","2,708","2,708","2,708","2,708","2,708","2,708","2,708","2,708","2,708","2,708","2,708","32,496"
     Panchukula,,"64,987","64,987","64,987","64,987","64,987","64,987","64,987","68,139","68,139","68,139","68,139","68,138","795,603"
     ABOHAR,,"21,550","21,550","21,550","21,550","21,550","21,550","21,550","21,550","21,550","21,550","21,550","21,550","258,600"
     HAJARIBAG,,"17,517","17,517","17,517","18,374","18,374","18,374","18,374","18,374","18,374","18,374","18,374","18,374","217,917"
     RAMGHAR,,"13,170","13,170","13,170","13,170","13,720","13,720","13,720","13,720","13,720","13,720","13,720","13,720","162,440"
     LOHARDAGA,,"15,560","15,560","15,560","15,560","16,165","16,165","16,165","16,165","16,165","16,165","16,165","16,165","191,560"
     KODERMA,,"17,579","18,013","18,013","18,013","18,013","18,013","18,013","18,013","18,013","18,013","18,013","18,013","215,722"
     GHARWA,,"11,660","11,660","11,660","11,660","11,660","11,660","11,660","11,660","11,660","11,919","11,919","11,919","140,697"
     KHUTI,,"6,408","6,408","6,408","6,408","6,408","6,408","6,408","6,408","6,408","6,573","6,573","6,573","77,391"
     LATEHAR,,"13,890","13,890","13,890","13,890","13,890","13,890","14,235","14,235","14,235","14,235","14,235","14,235","168,750"
     NATHDWARA,,0,0,0,0,0,0,0,0,0,0,0,0,0
     DUMMY-1,,0,0,0,0,0,0,0,0,0,0,0,0,0
     DUMMY-2,,0,0,0,0,0,0,0,0,0,0,0,0,0
     DUMMY-3,,0,0,0,0,0,0,0,0,0,0,0,0,0
     DUMMY-4,,0,0,0,0,0,0,0,0,0,0,0,0,0
     DUMMY-5,,0,0,0,0,0,0,0,0,0,0,0,0,0
     DUMMY-6,,0,0,0,0,0,0,0,0,0,0,0,0,0
     DUMMY-7,,0,0,0,0,0,0,0,0,0,0,0,0,0
     DUMMY-8,,0,0,0,0,0,0,0,0,0,0,0,0,0
     DUMMY-9,,0,0,0,0,0,0,0,0,0,0,0,0,0
     DUMMY-10,,0,0,0,0,0,0,0,0,0,0,0,0,0
     DUMMY-11,,0,0,0,0,0,0,0,0,0,0,0,0,0
     DUMMY-12,,0,0,0,0,0,0,0,0,0,0,0,0,0
     DUMMY-13,,0,0,0,0,0,0,0,0,0,0,0,0,0
     DUMMY-14,,0,0,0,0,0,0,0,0,0,0,0,0,0
     DUMMY-15,,0,0,0,0,0,0,0,0,0,0,0,0,0
OTHER EXPENSES,,"2,327,743","2,407,601","2,309,443","2,456,684","2,284,443","2,290,443","2,333,443","2,284,443","2,309,443","2,458,684","2,284,443","2,400,443","28,147,256"
     INTERNAL AUDIT FEES,,"1,381,522","1,381,522","1,381,522","1,381,522","1,381,522","1,381,522","1,381,522","1,381,522","1,381,522","1,381,522","1,381,522","1,381,522","16,578,264"
"     INTERNAL AUDITORS' EXP.",,"78,583","83,583","82,583","78,583","78,583","78,583","83,583","78,583","82,583","78,583","78,583","78,583","960,996"
     STATUTORY AUDIT FEES,,0,0,0,0,0,0,0,0,0,0,0,0,0
"     STATUTORY AUDITORS' EXP.",,"65,655","22,355","22,355","65,355","22,355","22,355","66,355","22,355","22,355","67,355","22,355","22,355","443,560"
     ABC AUDIT FEES,,"261,935","261,935","276,935","390,176","261,935","261,935","261,935","261,935","276,935","390,176","261,935","261,935","3,429,702"
"     ABC AUDITORS' EXP.",,"230,326","230,326","236,326","231,326","230,326","236,326","230,326","230,326","236,326","231,326","230,326","236,326","2,789,912"
     BANK CHARGES,,"54,722","54,722","54,722","54,722","54,722","54,722","54,722","54,722","54,722","54,722","54,722","54,722","656,664"
     BANK INTEREST,,0,0,0,0,0,0,0,0,0,0,0,0,0
"     DIRECTORS' EXP.",,0,0,0,0,0,0,0,0,0,0,0,0,0
     MACHINE LEASE RENT,,"255,000","373,158","255,000","255,000","255,000","255,000","255,000","255,000","255,000","255,000","255,000","365,000","3,288,158"
CIRCULATION PROMOTION EXPS. (CPE),,"25,189,901","30,044,726","24,073,490","27,058,597","28,025,142","29,069,055","22,795,196","21,858,702","21,851,702","21,851,702","21,851,502","24,837,619","298,507,334"
     CONSUMER PROMOTION,,"11,098,940","13,038,392","10,841,602","11,375,402","14,423,797","14,668,797","12,613,797","12,268,797","12,268,797","12,268,797","12,268,797","13,418,801","150,554,716"
     TRADE PROMOTION,,"2,612,791","2,867,241","2,736,241","3,049,241","2,670,241","2,643,241","2,499,741","2,482,241","2,475,241","2,475,241","2,475,041","2,589,191","31,575,692"
     MARKET DEVELOPMENT,,"1,083,331","1,083,331","1,083,331","1,083,331","1,083,331","1,083,331","1,083,331","1,083,331","1,083,331","1,083,331","1,083,331","1,083,331","12,999,972"
     PUBLICITY,,0,0,0,0,0,0,0,0,0,0,0,0,0
     SURE GIFT,,"10,394,839","13,055,762","9,412,316","11,550,623","9,847,773","10,673,686","6,598,327","6,024,333","6,024,333","6,024,333","6,024,333","7,746,296","103,376,954"
     BARTER EXPENSE,,0,0,0,0,0,0,0,0,0,0,0,0,0
ANNUAL SUBSCRIPTION / LAWAZAM,,0,0,0,0,0,0,0,0,0,0,0,0,0
     LAWAZAM EXPS,,0,0,0,0,0,0,0,0,0,0,0,0,0
BAD DEBTS,,"4,146,366","4,148,079","4,201,895","4,162,553","4,172,645","4,122,286","4,210,743","4,293,875","4,142,069","4,169,187","4,208,180","4,230,103","50,207,981"
     PROVISION  FOR BAD DEBTS,,"4,146,366","4,148,079","4,201,895","4,162,553","4,172,645","4,122,286","4,210,743","4,293,875","4,142,069","4,169,187","4,208,180","4,230,103","50,207,981"
Grand Total,,"499,075,490","494,376,970","492,664,929","495,392,745","489,439,285","493,924,260","508,515,649","482,519,112","492,438,407","486,469,055","475,957,449","489,622,681","5,900,396,032"
