Heads,Months,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Total
     BOKARO,,"69,100","69,100","69,100","69,100","69,100","69,100","69,100","69,100","69,100","69,100","69,100","69,100","829,200"
     GIRDHI,,"15,170","15,170","15,170","15,170","15,170","15,170","15,170","15,170","15,170","15,170","15,671","15,671","183,042"
     JHARIA,,"12,240","12,240","12,614","12,614","12,614","12,614","12,614","12,614","12,614","12,614","12,614","12,614","150,620"
     JAMTARA,,"9,315","9,557","9,557","9,557","9,557","9,557","9,557","9,557","9,557","9,557","9,557","9,557","114,442"
     KHATRAS,,"13,500","13,500","13,500","13,500","13,500","13,500","13,500","13,500","13,500","13,500","13,500","13,500","162,000"
     BERMO,,"8,100","8,100","8,100","8,100","8,100","8,100","8,100","8,100","8,100","8,100","8,100","8,100","97,200"
     GHATSEELA,,"16,700","16,700","16,700","16,700","16,700","16,700","16,700","16,700","16,700","16,700","16,700","16,700","200,400"
     CHAIVASHA,,"23,700","23,700","23,700","23,700","23,700","23,700","23,700","23,700","23,700","23,700","23,700","23,700","284,400"
     CHAKARDHARPUR,,"16,201","16,201","16,201","16,201","16,201","16,201","16,201","16,201","16,201","16,201","16,201","16,201","194,412"
     GUMLA,,"14,662","14,662","14,662","15,045","15,045","15,045","15,045","15,045","15,045","15,045","15,045","15,045","179,391"
     SIMDEGA,,"12,879","12,879","12,879","12,879","12,879","12,879","13,230","13,230","13,230","13,230","13,230","13,230","156,654"
     DALTONGANJ,,"13,431","14,111","14,111","14,111","14,111","14,111","14,111","14,111","14,111","14,111","14,111","14,111","168,652"
     CHATRA,,"11,172","11,172","11,172","11,172","11,172","11,172","11,172","11,172","11,172","11,172","11,172","11,612","134,504"
     BULDHANA,,"18,521","18,521","18,521","18,990","18,990","19,190","19,490","18,990","18,990","18,990","18,990","18,990","227,173"
     WALUJ,,"16,980","16,980","17,430","17,430","17,430","17,430","17,430","17,430","17,430","17,430","17,430","17,430","208,260"
     PARPHANI,,"3,530","3,530","3,530","3,530","3,530","3,530","3,530","3,530","3,530","3,530","3,530","3,530","42,360"
     JALNA,,"31,500","31,500","31,500","31,500","31,500","31,500","31,500","31,500","31,500","32,175","32,175","32,175","380,025"
     BEED,,"28,570","28,570","28,570","28,570","28,570","28,570","28,570","28,570","28,570","29,060","29,060","29,060","344,310"
     NANDED,,"18,000","18,000","18,000","18,000","18,000","18,000","18,000","18,000","18,000","18,000","18,000","19,100","217,100"
     PUNE,,"16,240","16,240","16,240","16,240","16,240","16,240","16,240","16,240","16,240","16,240","16,240","16,240","194,880"
     HINGOLI,,"3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","36,000"
     MUMBAI,,"7,750","7,750","7,750","7,750","7,750","7,750","7,750","7,750","7,750","7,750","7,750","7,750","93,000"
     BHUSAWAL,,"32,429","32,429","32,429","32,429","32,429","32,429","32,429","33,230","33,230","33,230","33,230","33,230","393,153"
     DHULE,,"34,160","34,160","34,160","34,160","34,160","34,160","34,160","34,710","34,710","34,710","34,710","34,710","412,670"
     CHALLISGAON,,"26,078","26,078","26,078","26,078","26,078","26,078","26,078","26,078","26,078","26,078","26,078","26,078","312,936"
     MALEGAON,,"16,400","16,400","16,400","16,400","16,400","16,400","16,400","16,400","16,400","16,400","16,400","16,400","196,800"
     SINNER,,"17,800","17,800","17,800","17,800","17,800","17,800","17,800","17,800","17,800","17,800","17,800","17,800","213,600"
     SHIRDI,,"5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","60,000"
     OSMANABAD,,"21,883","21,883","21,883","21,883","21,883","21,883","21,883","21,883","21,883","21,883","21,883","21,883","262,596"
     LATUR,,"17,253","17,253","17,253","17,253","17,253","17,253","17,253","17,253","17,253","17,253","17,253","17,253","207,036"
     ASHOKNAGAR,,"7,660","7,660","7,660","7,660","7,660","7,660","7,660","7,660","7,660","7,450","7,660","7,660","91,710"
     BIORA,,"6,576","6,576","6,576","6,576","6,576","6,576","6,576","6,576","6,576","6,576","6,576","6,576","78,912"
     RAJGARH,,"11,886","11,886","11,886","11,886","11,886","11,886","11,886","11,886","11,886","11,886","11,886","11,886","142,632"
     RAJNANDGAON1,,"29,839","29,839","29,839","29,839","31,049","31,049","31,049","31,049","31,049","31,049","31,049","31,049","367,748"
     DONGARGARH1,,"3,735","3,735","3,735","3,735","3,735","3,735","3,735","3,735","3,735","3,735","3,735","3,735","44,820"
     BHILAI3,,0,0,0,0,0,0,0,0,0,0,0,0,0
     TIKAMGARH,,"14,359","14,359","14,359","14,359","14,359","14,359","14,359","14,359","14,359","14,359","14,359","14,359","172,308"
     KISHANGARH,,"15,431","15,431","15,431","15,718","15,718","15,718","15,718","15,718","15,718","15,718","15,718","15,718","187,751"
     BARAN,,"11,768","11,768","11,768","11,768","11,768","11,768","11,768","11,768","11,768","11,768","11,768","11,768","141,216"
